Date,Close,change
"May 02, 2018",0.37242,0.01373
"May 01, 2018",0.358693,0.01538
"Apr 30, 2018",0.343318,-0.02174
"Apr 29, 2018",0.365057,0.00718
"Apr 28, 2018",0.357874,0.06939
"Apr 27, 2018",0.288489,-0.00581
"Apr 26, 2018",0.294295,0.02264
"Apr 25, 2018",0.271654,-0.04122
"Apr 24, 2018",0.312875,0.02440
"Apr 23, 2018",0.288473,0.00294
"Apr 22, 2018",0.285535,-0.00505
"Apr 21, 2018",0.29058,-0.01067
"Apr 20, 2018",0.301247,0.02889
"Apr 19, 2018",0.272358,0.01202
"Apr 18, 2018",0.260341,0.01662
"Apr 17, 2018",0.243724,-0.01292
"Apr 16, 2018",0.256646,0.03526
"Apr 15, 2018",0.22139,0.02054
"Apr 14, 2018",0.200853,0.00032
"Apr 13, 2018",0.200532,-0.01170
"Apr 12, 2018",0.212233,0.04620
"Apr 11, 2018",0.166029,0.00968
"Apr 10, 2018",0.156347,0.00324
"Apr 09, 2018",0.153106,-0.00349
"Apr 08, 2018",0.156599,0.00780
"Apr 07, 2018",0.148794,0.00434
"Apr 06, 2018",0.144451,-0.00431
"Apr 05, 2018",0.148758,-0.00660
"Apr 04, 2018",0.155356,-0.01709
"Apr 03, 2018",0.172447,0.01606
"Apr 02, 2018",0.156385,0.00562
"Apr 01, 2018",0.150768,-0.00515
"Mar 31, 2018",0.155919,0.00871
"Mar 30, 2018",0.147209,0.00033
"Mar 29, 2018",0.146882,-0.01318
"Mar 28, 2018",0.160058,0.00513
"Mar 27, 2018",0.154926,-0.01288
"Mar 26, 2018",0.167806,-0.01680
"Mar 25, 2018",0.184605,-0.00460
"Mar 24, 2018",0.189201,-0.00006
"Mar 23, 2018",0.189259,-0.01422
"Mar 22, 2018",0.203481,-0.00971
"Mar 21, 2018",0.213189,0.00824
"Mar 20, 2018",0.204947,0.00730
"Mar 19, 2018",0.197648,0.04149
"Mar 18, 2018",0.156155,0.00139
"Mar 17, 2018",0.154763,-0.02412
"Mar 16, 2018",0.178878,-0.00683
"Mar 15, 2018",0.185709,-0.01385
"Mar 14, 2018",0.199562,-0.02346
"Mar 13, 2018",0.223026,-0.00070
"Mar 12, 2018",0.223722,0.00022
"Mar 11, 2018",0.223498,0.01363
"Mar 10, 2018",0.209873,-0.01233
"Mar 09, 2018",0.222207,0.00046
"Mar 08, 2018",0.221743,-0.02554
"Mar 07, 2018",0.247281,-0.03808
"Mar 06, 2018",0.285357,-0.01227
"Mar 05, 2018",0.297622,-0.00317
"Mar 04, 2018",0.300787,0.00368
"Mar 03, 2018",0.297106,0.00360
"Mar 02, 2018",0.293504,-0.01089
"Mar 01, 2018",0.304397,-0.00818
"Feb 28, 2018",0.312581,-0.02296
"Feb 27, 2018",0.335536,-0.00280
"Feb 26, 2018",0.338335,-0.00570
"Feb 25, 2018",0.344033,0.02107
"Feb 24, 2018",0.322966,-0.02229
"Feb 23, 2018",0.345258,0.00739
"Feb 22, 2018",0.337871,-0.02657
"Feb 21, 2018",0.364441,-0.01434
"Feb 20, 2018",0.378779,-0.01269
"Feb 19, 2018",0.391472,0.00585
"Feb 18, 2018",0.385618,-0.03427
"Feb 17, 2018",0.419883,0.01607
"Feb 16, 2018",0.40381,-0.00556
"Feb 15, 2018",0.409368,0.01246
"Feb 14, 2018",0.396908,0.02359
"Feb 13, 2018",0.373314,-0.01100
"Feb 12, 2018",0.384315,0.01455
"Feb 11, 2018",0.369769,-0.03610
"Feb 10, 2018",0.405872,0.01427
"Feb 09, 2018",0.391602,0.03502
"Feb 08, 2018",0.356584,0.01614
"Feb 07, 2018",0.340447,-0.02931
"Feb 06, 2018",0.369753,0.04238
"Feb 05, 2018",0.327371,-0.05193
"Feb 04, 2018",0.379303,-0.05953
"Feb 03, 2018",0.438836,0.00000
