Date,Close,change
"May 02, 2018","1,458.72",107.44
"May 01, 2018","1,351.28",1.23
"Apr 30, 2018","1,350.05",-90.25
"Apr 29, 2018","1,440.3",44.05
"Apr 28, 2018","1,396.25",58.40
"Apr 27, 2018","1,337.85",-82.56
"Apr 26, 2018","1,420.41",135.62
"Apr 25, 2018","1,284.79",-141.63
"Apr 24, 2018","1,426.42",-5.84
"Apr 23, 2018","1,432.26",231.04
"Apr 22, 2018","1,201.22",46.53
"Apr 21, 2018","1,154.69",26.67
"Apr 20, 2018","1,128.02",159.38
"Apr 19, 2018",968.64,79.73
"Apr 18, 2018",888.91,131.32
"Apr 17, 2018",757.59,-8.88
"Apr 16, 2018",766.47,-14.36
"Apr 15, 2018",780.83,41.84
"Apr 14, 2018",738.99,0.69
"Apr 13, 2018",738.3,3.82
"Apr 12, 2018",734.48,67.90
"Apr 11, 2018",666.58,16.96
"Apr 10, 2018",649.62,12.59
"Apr 09, 2018",637.03,-18.23
"Apr 08, 2018",655.26,14.91
"Apr 07, 2018",640.35,29.92
"Apr 06, 2018",610.43,-35.61
"Apr 05, 2018",646.04,-3.16
"Apr 04, 2018",649.2,-63.68
"Apr 03, 2018",712.88,50.11
"Apr 02, 2018",662.77,19.74
"Apr 01, 2018",643.03,-42.22
"Mar 31, 2018",685.25,-11.76
"Mar 30, 2018",697.01,-17.26
"Mar 29, 2018",714.27,-146.25
"Mar 28, 2018",860.52,-15.81
"Mar 27, 2018",876.33,-42.92
"Mar 26, 2018",919.25,-47.63
"Mar 25, 2018",966.88,-15.42
"Mar 24, 2018",982.3,-37.13
"Mar 23, 2018","1,019.43",7.91
"Mar 22, 2018","1,011.52",-21.93
"Mar 21, 2018","1,033.45",-25.67
"Mar 20, 2018","1,059.12",64.44
"Mar 19, 2018",994.68,56.56
"Mar 18, 2018",938.12,-11.66
"Mar 17, 2018",949.78,-27.26
"Mar 16, 2018",977.04,33.40
"Mar 15, 2018",943.64,-5.83
"Mar 14, 2018",949.47,-114.56
"Mar 13, 2018","1,064.03",12.75
"Mar 12, 2018","1,051.28",-93.89
"Mar 11, 2018","1,145.17",139.24
"Mar 10, 2018","1,005.93",-61.09
"Mar 09, 2018","1,067.02",26.81
"Mar 08, 2018","1,040.21",-51.95
"Mar 07, 2018","1,092.16",-113.88
"Mar 06, 2018","1,206.04",-61.99
"Mar 05, 2018","1,268.03",-21.05
"Mar 04, 2018","1,289.08",18.70
"Mar 03, 2018","1,270.38",-4.80
"Mar 02, 2018","1,275.18",-16.74
"Mar 01, 2018","1,291.92",87.76
"Feb 28, 2018","1,204.16",-42.50
"Feb 27, 2018","1,246.66",-3.90
"Feb 26, 2018","1,250.56",72.46
"Feb 25, 2018","1,178.1",-15.17
"Feb 24, 2018","1,193.27",-77.44
"Feb 23, 2018","1,270.71",51.22
"Feb 22, 2018","1,219.49",-88.97
"Feb 21, 2018","1,308.46",-110.27
"Feb 20, 2018","1,418.73",-116.04
"Feb 19, 2018","1,534.77",47.31
"Feb 18, 2018","1,487.46",-63.93
"Feb 17, 2018","1,551.39",-0.81
"Feb 16, 2018","1,552.2",176.39
"Feb 15, 2018","1,375.81",13.54
"Feb 14, 2018","1,362.27",130.29
"Feb 13, 2018","1,231.98",-51.93
"Feb 12, 2018","1,283.91",66.27
"Feb 11, 2018","1,217.64",-39.67
"Feb 10, 2018","1,257.31",-54.80
"Feb 09, 2018","1,312.11",27.55
"Feb 08, 2018","1,284.56",326.60
"Feb 07, 2018",957.96,-16.57
"Feb 06, 2018",974.53,87.12
"Feb 05, 2018",887.41,-277.97
"Feb 04, 2018","1,165.38",-107.12
"Feb 03, 2018","1,272.5",0.00
