Date,Close,change
"May 02, 2018",14.41,0.25
"May 01, 2018",14.16,-0.15
"Apr 30, 2018",14.31,-0.75
"Apr 29, 2018",15.06,-0.14
"Apr 28, 2018",15.2,0.87
"Apr 27, 2018",14.33,-0.32
"Apr 26, 2018",14.65,1.36
"Apr 25, 2018",13.29,-1.98
"Apr 24, 2018",15.27,1.64
"Apr 23, 2018",13.63,0.75
"Apr 22, 2018",12.88,-0.50
"Apr 21, 2018",13.38,0.80
"Apr 20, 2018",12.58,0.23
"Apr 19, 2018",12.35,0.07
"Apr 18, 2018",12.28,0.51
"Apr 17, 2018",11.77,-0.44
"Apr 16, 2018",12.21,-0.85
"Apr 15, 2018",13.06,-0.18
"Apr 14, 2018",13.24,-0.30
"Apr 13, 2018",13.54,0.59
"Apr 12, 2018",12.95,0.72
"Apr 11, 2018",12.23,0.19
"Apr 10, 2018",12.04,0.17
"Apr 09, 2018",11.87,-0.25
"Apr 08, 2018",12.12,-0.34
"Apr 07, 2018",12.46,0.20
"Apr 06, 2018",12.26,-0.19
"Apr 05, 2018",12.45,0.26
"Apr 04, 2018",12.19,-1.17
"Apr 03, 2018",13.36,0.74
"Apr 02, 2018",12.62,1.55
"Apr 01, 2018",11.07,0.01
"Mar 31, 2018",11.06,0.71
"Mar 30, 2018",10.35,0.15
"Mar 29, 2018",10.2,-1.44
"Mar 28, 2018",11.64,0.13
"Mar 27, 2018",11.51,-0.55
"Mar 26, 2018",12.06,-0.72
"Mar 25, 2018",12.78,-0.31
"Mar 24, 2018",13.09,1.35
"Mar 23, 2018",11.74,1.67
"Mar 22, 2018",10.07,0.09
"Mar 21, 2018",9.98,0.82
"Mar 20, 2018",9.16,0.17
"Mar 19, 2018",8.99,0.04
"Mar 18, 2018",8.95,-0.04
"Mar 17, 2018",8.99,-0.12
"Mar 16, 2018",9.11,0.01
"Mar 15, 2018",9.1,0.14
"Mar 14, 2018",8.96,-1.16
"Mar 13, 2018",10.12,2.08
"Mar 12, 2018",8.04,-0.23
"Mar 11, 2018",8.27,0.60
"Mar 10, 2018",7.67,-0.64
"Mar 09, 2018",8.31,0.00
"Mar 08, 2018",8.31,-0.72
"Mar 07, 2018",9.03,-0.35
"Mar 06, 2018",9.38,-0.73
"Mar 05, 2018",10.11,-0.24
"Mar 04, 2018",10.35,0.13
"Mar 03, 2018",10.22,0.00
"Mar 02, 2018",10.22,-0.29
"Mar 01, 2018",10.51,0.07
"Feb 28, 2018",10.44,-0.22
"Feb 27, 2018",10.66,0.76
"Feb 26, 2018",9.9,0.55
"Feb 25, 2018",9.35,0.21
"Feb 24, 2018",9.14,-0.55
"Feb 23, 2018",9.69,0.79
"Feb 22, 2018",8.9,-0.48
"Feb 21, 2018",9.38,-0.52
"Feb 20, 2018",9.9,-1.18
"Feb 19, 2018",11.08,0.38
"Feb 18, 2018",10.7,-0.99
"Feb 17, 2018",11.69,0.49
"Feb 16, 2018",11.2,0.27
"Feb 15, 2018",10.93,0.53
"Feb 14, 2018",10.4,1.41
"Feb 13, 2018",8.99,-0.33
"Feb 12, 2018",9.32,0.62
"Feb 11, 2018",8.7,-0.56
"Feb 10, 2018",9.26,-0.47
"Feb 09, 2018",9.73,1.13
"Feb 08, 2018",8.6,0.50
"Feb 07, 2018",8.1,-0.19
"Feb 06, 2018",8.29,1.58
"Feb 05, 2018",6.71,-1.75
"Feb 04, 2018",8.46,-1.29
"Feb 03, 2018",9.75,0.00
