Date,Close,change
"May 02, 2018","9,235.92",116.91
"May 01, 2018","9,119.01",-121.54
"Apr 30, 2018","9,240.55",-178.53
"Apr 29, 2018","9,419.08",70.60
"Apr 28, 2018","9,348.48",361.43
"Apr 27, 2018","8,987.05",-294.46
"Apr 26, 2018","9,281.51",435.77
"Apr 25, 2018","8,845.74",-851.76
"Apr 24, 2018","9,697.5",766.62
"Apr 23, 2018","8,930.88",128.42
"Apr 22, 2018","8,802.46",-93.12
"Apr 21, 2018","8,895.58",49.75
"Apr 20, 2018","8,845.83",551.52
"Apr 19, 2018","8,294.31",130.89
"Apr 18, 2018","8,163.42",261.33
"Apr 17, 2018","7,902.09",-156.58
"Apr 16, 2018","8,058.67",-270.44
"Apr 15, 2018","8,329.11",342.87
"Apr 14, 2018","7,986.24",90.28
"Apr 13, 2018","7,895.96",6.71
"Apr 12, 2018","7,889.25",920.93
"Apr 11, 2018","6,968.32",133.56
"Apr 10, 2018","6,834.76",64.03
"Apr 09, 2018","6,770.73",-252.79
"Apr 08, 2018","7,023.52",112.43
"Apr 07, 2018","6,911.09",274.77
"Apr 06, 2018","6,636.32",-175.15
"Apr 05, 2018","6,811.47",-42.37
"Apr 04, 2018","6,853.84",-602.27
"Apr 03, 2018","7,456.11",372.31
"Apr 02, 2018","7,083.8",239.57
"Apr 01, 2018","6,844.23",-129.30
"Mar 31, 2018","6,973.53",83.01
"Mar 30, 2018","6,890.52",-275.18
"Mar 29, 2018","7,165.7",-788.78
"Mar 28, 2018","7,954.48",121.44
"Mar 27, 2018","7,833.04",-376.36
"Mar 26, 2018","8,209.4",-286.38
"Mar 25, 2018","8,495.78",-172.34
"Mar 24, 2018","8,668.12",-211.50
"Mar 23, 2018","8,879.62",151.15
"Mar 22, 2018","8,728.47",-200.81
"Mar 21, 2018","8,929.28",15.81
"Mar 20, 2018","8,913.47",282.82
"Mar 19, 2018","8,630.65",406.97
"Mar 18, 2018","8,223.68",306.80
"Mar 17, 2018","7,916.88",-421.47
"Mar 16, 2018","8,338.35",37.49
"Mar 15, 2018","8,300.86",31.05
"Mar 14, 2018","8,269.81",-925.04
"Mar 13, 2018","9,194.85",-10.27
"Mar 12, 2018","9,205.12",-373.51
"Mar 11, 2018","9,578.63",712.63
"Mar 10, 2018","8,866",-471.55
"Mar 09, 2018","9,337.55",-57.46
"Mar 08, 2018","9,395.01",-570.56
"Mar 07, 2018","9,965.57",-814.33
"Mar 06, 2018","10,779.9",-793.40
"Mar 05, 2018","11,573.3",60.70
"Mar 04, 2018","11,512.6",22.90
"Mar 03, 2018","11,489.7",403.30
"Mar 02, 2018","11,086.4",135.40
"Mar 01, 2018","10,951",553.10
"Feb 28, 2018","10,397.9",-327.70
"Feb 27, 2018","10,725.6",358.90
"Feb 26, 2018","10,366.7",701.97
"Feb 25, 2018","9,664.73",-148.34
"Feb 24, 2018","9,813.07",-488.03
"Feb 23, 2018","10,301.1",296.10
"Feb 22, 2018","10,005",-685.40
"Feb 21, 2018","10,690.4",-713.30
"Feb 20, 2018","11,403.7",178.40
"Feb 19, 2018","11,225.3",673.50
"Feb 18, 2018","10,551.8",-560.90
"Feb 17, 2018","11,112.7",878.80
"Feb 16, 2018","10,233.9",67.50
"Feb 15, 2018","10,166.4",671.77
"Feb 14, 2018","9,494.63",896.32
"Feb 13, 2018","8,598.31",-328.26
"Feb 12, 2018","8,926.57",796.60
"Feb 11, 2018","8,129.97",-491.93
"Feb 10, 2018","8,621.9",-115.08
"Feb 09, 2018","8,736.98",471.39
"Feb 08, 2018","8,265.59",644.29
"Feb 07, 2018","7,621.3",-132.70
"Feb 06, 2018","7,754",798.73
"Feb 05, 2018","6,955.27","-1,321.74"
"Feb 04, 2018","8,277.01",-897.90
"Feb 03, 2018","9,174.91",0.00
