Date,Close,change
"May 02, 2018",75.82,4.12
"May 01, 2018",71.7,-1.55
"Apr 30, 2018",73.25,-5.07
"Apr 29, 2018",78.32,1.18
"Apr 28, 2018",77.14,3.73
"Apr 27, 2018",73.41,-5.75
"Apr 26, 2018",79.16,8.25
"Apr 25, 2018",70.91,-13.93
"Apr 24, 2018",84.84,7.01
"Apr 23, 2018",77.83,11.83
"Apr 22, 2018",66,-0.65
"Apr 21, 2018",66.65,-2.91
"Apr 20, 2018",69.56,9.63
"Apr 19, 2018",59.93,4.71
"Apr 18, 2018",55.22,4.19
"Apr 17, 2018",51.03,-1.73
"Apr 16, 2018",52.76,3.79
"Apr 15, 2018",48.97,3.36
"Apr 14, 2018",45.61,0.21
"Apr 13, 2018",45.4,-0.92
"Apr 12, 2018",46.32,4.07
"Apr 11, 2018",42.25,1.37
"Apr 10, 2018",40.88,-0.32
"Apr 09, 2018",41.2,-0.90
"Apr 08, 2018",42.1,0.94
"Apr 07, 2018",41.16,1.55
"Apr 06, 2018",39.61,-1.98
"Apr 05, 2018",41.59,-0.61
"Apr 04, 2018",42.2,-4.77
"Apr 03, 2018",46.97,4.03
"Apr 02, 2018",42.94,1.72
"Apr 01, 2018",41.22,-3.12
"Mar 31, 2018",44.34,-0.21
"Mar 30, 2018",44.55,-1.15
"Mar 29, 2018",45.7,-7.43
"Mar 28, 2018",53.13,0.41
"Mar 27, 2018",52.72,-3.72
"Mar 26, 2018",56.44,-4.04
"Mar 25, 2018",60.48,-0.37
"Mar 24, 2018",60.85,0.58
"Mar 23, 2018",60.27,-1.62
"Mar 22, 2018",61.89,-4.14
"Mar 21, 2018",66.03,-0.16
"Mar 20, 2018",66.19,-2.24
"Mar 19, 2018",68.43,8.98
"Mar 18, 2018",59.45,0.48
"Mar 17, 2018",58.97,-4.18
"Mar 16, 2018",63.15,-3.05
"Mar 15, 2018",66.2,-2.44
"Mar 14, 2018",68.64,-10.51
"Mar 13, 2018",79.15,-0.92
"Mar 12, 2018",80.07,-4.64
"Mar 11, 2018",84.71,3.33
"Mar 10, 2018",81.38,-4.35
"Mar 09, 2018",85.73,-1.54
"Mar 08, 2018",87.27,-4.33
"Mar 07, 2018",91.6,-11.53
"Mar 06, 2018",103.13,-7.90
"Mar 05, 2018",111.03,-2.05
"Mar 04, 2018",113.08,1.33
"Mar 03, 2018",111.75,0.07
"Mar 02, 2018",111.68,-1.90
"Mar 01, 2018",113.58,0.40
"Feb 28, 2018",113.18,-8.13
"Feb 27, 2018",121.31,1.49
"Feb 26, 2018",119.82,4.92
"Feb 25, 2018",114.9,-3.13
"Feb 24, 2018",118.03,-6.28
"Feb 23, 2018",124.31,4.58
"Feb 22, 2018",119.73,-3.91
"Feb 21, 2018",123.64,-9.48
"Feb 20, 2018",133.12,-8.29
"Feb 19, 2018",141.41,10.14
"Feb 18, 2018",131.27,-11.89
"Feb 17, 2018",143.16,1.39
"Feb 16, 2018",141.77,9.18
"Feb 15, 2018",132.59,3.67
"Feb 14, 2018",128.92,7.11
"Feb 13, 2018",121.81,6.32
"Feb 12, 2018",115.49,-7.77
"Feb 11, 2018",123.26,-6.16
"Feb 10, 2018",129.42,-36.67
"Feb 09, 2018",166.09,62.00
"Feb 08, 2018",104.09,16.54
"Feb 07, 2018",87.55,-5.44
"Feb 06, 2018",92.99,8.37
"Feb 05, 2018",84.62,-15.94
"Feb 04, 2018",100.56,-13.92
"Feb 03, 2018",114.48,0.00
