Date,Close,change
"May 02, 2018",274.69,3.08
"May 01, 2018",271.61,2.46
"Apr 30, 2018",269.15,-7.24
"Apr 29, 2018",276.39,-1.26
"Apr 28, 2018",277.65,16.01
"Apr 27, 2018",261.64,-11.19
"Apr 26, 2018",272.83,16.62
"Apr 25, 2018",256.21,-44.53
"Apr 24, 2018",300.74,17.59
"Apr 23, 2018",283.15,0.28
"Apr 22, 2018",282.87,-4.46
"Apr 21, 2018",287.33,20.93
"Apr 20, 2018",266.4,8.66
"Apr 19, 2018",257.74,15.16
"Apr 18, 2018",242.58,7.49
"Apr 17, 2018",235.09,-10.71
"Apr 16, 2018",245.8,-4.81
"Apr 15, 2018",250.61,13.53
"Apr 14, 2018",237.08,3.69
"Apr 13, 2018",233.39,-2.77
"Apr 12, 2018",236.16,22.13
"Apr 11, 2018",214.03,5.67
"Apr 10, 2018",208.36,-0.09
"Apr 09, 2018",208.45,-7.27
"Apr 08, 2018",215.72,1.53
"Apr 07, 2018",214.19,2.40
"Apr 06, 2018",211.79,2.05
"Apr 05, 2018",209.74,0.83
"Apr 04, 2018",208.91,-24.66
"Apr 03, 2018",233.57,2.33
"Apr 02, 2018",231.24,10.12
"Apr 01, 2018",221.12,-24.15
"Mar 31, 2018",245.27,-0.40
"Mar 30, 2018",245.67,3.59
"Mar 29, 2018",242.08,-51.96
"Mar 28, 2018",294.04,-11.41
"Mar 27, 2018",305.45,-29.91
"Mar 26, 2018",335.36,3.69
"Mar 25, 2018",331.67,-13.08
"Mar 24, 2018",344.75,-8.13
"Mar 23, 2018",352.88,-5.24
"Mar 22, 2018",358.12,-16.00
"Mar 21, 2018",374.12,16.95
"Mar 20, 2018",357.17,10.11
"Mar 19, 2018",347.06,-1.85
"Mar 18, 2018",348.91,-16.11
"Mar 17, 2018",365.02,-41.85
"Mar 16, 2018",406.87,41.13
"Mar 15, 2018",365.74,35.59
"Mar 14, 2018",330.15,2.99
"Mar 13, 2018",327.16,-13.62
"Mar 12, 2018",340.78,-17.34
"Mar 11, 2018",358.12,16.70
"Mar 10, 2018",341.42,-39.14
"Mar 09, 2018",380.56,50.63
"Mar 08, 2018",329.93,-85.02
"Mar 07, 2018",414.95,-65.28
"Mar 06, 2018",480.23,-10.02
"Mar 05, 2018",490.25,5.67
"Mar 04, 2018",484.58,-20.40
"Mar 03, 2018",504.98,11.69
"Mar 02, 2018",493.29,-10.19
"Mar 01, 2018",503.48,-51.96
"Feb 28, 2018",555.44,62.31
"Feb 27, 2018",493.13,83.34
"Feb 26, 2018",409.79,4.96
"Feb 25, 2018",404.83,43.38
"Feb 24, 2018",361.45,-7.10
"Feb 23, 2018",368.55,54.06
"Feb 22, 2018",314.49,0.01
"Feb 21, 2018",314.48,-0.67
"Feb 20, 2018",315.15,6.33
"Feb 19, 2018",308.82,-13.01
"Feb 18, 2018",321.83,78.25
"Feb 17, 2018",243.58,-0.77
"Feb 16, 2018",244.35,0.59
"Feb 15, 2018",243.76,2.85
"Feb 14, 2018",240.91,18.08
"Feb 13, 2018",222.83,-12.49
"Feb 12, 2018",235.32,9.48
"Feb 11, 2018",225.84,-20.81
"Feb 10, 2018",246.65,-33.92
"Feb 09, 2018",280.57,-10.20
"Feb 08, 2018",290.77,5.32
"Feb 07, 2018",285.45,69.55
"Feb 06, 2018",215.9,5.37
"Feb 05, 2018",210.53,-123.02
"Feb 04, 2018",333.55,-52.34
"Feb 03, 2018",385.89,0.00
