Date,Close,change
"May 02, 2018",481.49,2.59
"May 01, 2018",478.9,6.13
"Apr 30, 2018",472.77,-25.92
"Apr 29, 2018",498.69,4.58
"Apr 28, 2018",494.11,22.05
"Apr 27, 2018",472.06,-31.80
"Apr 26, 2018",503.86,42.85
"Apr 25, 2018",461.01,-69.12
"Apr 24, 2018",530.13,26.74
"Apr 23, 2018",503.39,35.68
"Apr 22, 2018",467.71,23.21
"Apr 21, 2018",444.5,-15.91
"Apr 20, 2018",460.41,29.08
"Apr 19, 2018",431.33,10.15
"Apr 18, 2018",421.18,57.33
"Apr 17, 2018",363.85,0.27
"Apr 16, 2018",363.58,-18.13
"Apr 15, 2018",381.71,25.57
"Apr 14, 2018",356.14,3.07
"Apr 13, 2018",353.07,-0.73
"Apr 12, 2018",353.8,44.38
"Apr 11, 2018",309.42,10.61
"Apr 10, 2018",298.81,0.40
"Apr 09, 2018",298.41,-12.44
"Apr 08, 2018",310.85,13.05
"Apr 07, 2018",297.8,12.35
"Apr 06, 2018",285.45,-16.21
"Apr 05, 2018",301.66,1.81
"Apr 04, 2018",299.85,-40.00
"Apr 03, 2018",339.85,28.04
"Apr 02, 2018",311.81,20.28
"Apr 01, 2018",291.53,-14.23
"Mar 31, 2018",305.76,-5.36
"Mar 30, 2018",311.12,-18.16
"Mar 29, 2018",329.28,-21.98
"Mar 28, 2018",351.26,-3.49
"Mar 27, 2018",354.75,-36.12
"Mar 26, 2018",390.87,-20.92
"Mar 25, 2018",411.79,-12.82
"Mar 24, 2018",424.61,-2.85
"Mar 23, 2018",427.46,16.10
"Mar 22, 2018",411.36,-23.15
"Mar 21, 2018",434.51,5.63
"Mar 20, 2018",428.88,19.56
"Mar 19, 2018",409.32,15.17
"Mar 18, 2018",394.15,6.87
"Mar 17, 2018",387.28,-38.25
"Mar 16, 2018",425.53,7.29
"Mar 15, 2018",418.24,-8.02
"Mar 14, 2018",426.26,-61.11
"Mar 13, 2018",487.37,-13.93
"Mar 12, 2018",501.3,-30.50
"Mar 11, 2018",531.8,47.45
"Mar 10, 2018",484.35,-15.15
"Mar 09, 2018",499.5,5.68
"Mar 08, 2018",493.82,-19.92
"Mar 07, 2018",513.74,-64.77
"Mar 06, 2018",578.51,-36.07
"Mar 05, 2018",614.58,-5.91
"Mar 04, 2018",620.49,9.97
"Mar 03, 2018",610.52,6.89
"Mar 02, 2018",603.63,-13.90
"Mar 01, 2018",617.53,33.24
"Feb 28, 2018",584.29,-31.56
"Feb 27, 2018",615.85,-5.42
"Feb 26, 2018",621.27,29.58
"Feb 25, 2018",591.69,-3.32
"Feb 24, 2018",595.01,-36.65
"Feb 23, 2018",631.66,-1.30
"Feb 22, 2018",632.96,-37.43
"Feb 21, 2018",670.39,-14.65
"Feb 20, 2018",685.04,-43.69
"Feb 19, 2018",728.73,39.45
"Feb 18, 2018",689.28,-52.88
"Feb 17, 2018",742.16,43.30
"Feb 16, 2018",698.86,-5.00
"Feb 15, 2018",703.86,24.88
"Feb 14, 2018",678.98,83.51
"Feb 13, 2018",595.47,-25.09
"Feb 12, 2018",620.56,40.54
"Feb 11, 2018",580.02,-54.08
"Feb 10, 2018",634.1,-3.72
"Feb 09, 2018",637.82,32.81
"Feb 08, 2018",605.01,83.02
"Feb 07, 2018",521.99,-6.51
"Feb 06, 2018",528.5,77.07
"Feb 05, 2018",451.43,-98.53
"Feb 04, 2018",549.96,-87.41
"Feb 03, 2018",637.37,0.00
