Date,Close,change
"May 02, 2018",19.21,0.26
"May 01, 2018",18.95,1.37
"Apr 30, 2018",17.58,-3.96
"Apr 29, 2018",21.54,2.67
"Apr 28, 2018",18.87,2.20
"Apr 27, 2018",16.67,1.18
"Apr 26, 2018",15.49,1.03
"Apr 25, 2018",14.46,-0.85
"Apr 24, 2018",15.31,3.70
"Apr 23, 2018",11.61,0.26
"Apr 22, 2018",11.35,0.24
"Apr 21, 2018",11.11,-0.34
"Apr 20, 2018",11.45,2.01
"Apr 19, 2018",9.44,0.41
"Apr 18, 2018",9.03,0.52
"Apr 17, 2018",8.51,0.41
"Apr 16, 2018",8.1,-0.30
"Apr 15, 2018",8.4,-0.20
"Apr 14, 2018",8.6,-0.14
"Apr 13, 2018",8.74,0.04
"Apr 12, 2018",8.7,0.21
"Apr 11, 2018",8.49,2.49
"Apr 10, 2018",6,0.13
"Apr 09, 2018",5.87,-0.10
"Apr 08, 2018",5.97,0.06
"Apr 07, 2018",5.91,0.02
"Apr 06, 2018",5.89,-0.51
"Apr 05, 2018",6.4,0.67
"Apr 04, 2018",5.73,-0.40
"Apr 03, 2018",6.13,0.24
"Apr 02, 2018",5.89,0.23
"Apr 01, 2018",5.66,-0.33
"Mar 31, 2018",5.99,-0.11
"Mar 30, 2018",6.1,0.08
"Mar 29, 2018",6.02,-0.27
"Mar 28, 2018",6.29,0.38
"Mar 27, 2018",5.91,0.01
"Mar 26, 2018",5.9,-0.62
"Mar 25, 2018",6.52,-0.11
"Mar 24, 2018",6.63,-0.38
"Mar 23, 2018",7.01,-0.02
"Mar 22, 2018",7.03,0.00
"Mar 21, 2018",7.03,1.02
"Mar 20, 2018",6.01,-0.35
"Mar 19, 2018",6.36,1.71
"Mar 18, 2018",4.65,-0.02
"Mar 17, 2018",4.67,-0.42
"Mar 16, 2018",5.09,-0.08
"Mar 15, 2018",5.17,-0.17
"Mar 14, 2018",5.34,-0.52
"Mar 13, 2018",5.86,0.03
"Mar 12, 2018",5.83,-0.31
"Mar 11, 2018",6.14,0.34
"Mar 10, 2018",5.8,-0.33
"Mar 09, 2018",6.13,-0.07
"Mar 08, 2018",6.2,-0.31
"Mar 07, 2018",6.51,-0.74
"Mar 06, 2018",7.25,-0.80
"Mar 05, 2018",8.05,-0.13
"Mar 04, 2018",8.18,0.18
"Mar 03, 2018",8,-0.09
"Mar 02, 2018",8.09,-0.54
"Mar 01, 2018",8.63,0.22
"Feb 28, 2018",8.41,-0.16
"Feb 27, 2018",8.57,0.44
"Feb 26, 2018",8.13,0.23
"Feb 25, 2018",7.9,-0.29
"Feb 24, 2018",8.19,-0.39
"Feb 23, 2018",8.58,0.49
"Feb 22, 2018",8.09,-0.67
"Feb 21, 2018",8.76,-0.52
"Feb 20, 2018",9.28,-0.40
"Feb 19, 2018",9.68,0.30
"Feb 18, 2018",9.38,-0.77
"Feb 17, 2018",10.15,0.13
"Feb 16, 2018",10.02,-0.15
"Feb 15, 2018",10.17,0.20
"Feb 14, 2018",9.97,0.76
"Feb 13, 2018",9.21,0.03
"Feb 12, 2018",9.18,0.77
"Feb 11, 2018",8.41,-0.69
"Feb 10, 2018",9.1,-0.55
"Feb 09, 2018",9.65,1.14
"Feb 08, 2018",8.51,0.90
"Feb 07, 2018",7.61,-0.73
"Feb 06, 2018",8.34,1.28
"Feb 05, 2018",7.06,-1.55
"Feb 04, 2018",8.61,-1.23
"Feb 03, 2018",9.84,0.00
