Date,Close,change
"May 02, 2018",21.67,0.09
"May 01, 2018",21.58,-0.10
"Apr 30, 2018",21.68,-0.15
"Apr 29, 2018",21.83,0.10
"Apr 28, 2018",21.73,1.17
"Apr 27, 2018",20.56,-0.50
"Apr 26, 2018",21.06,2.48
"Apr 25, 2018",18.58,-3.67
"Apr 24, 2018",22.25,1.77
"Apr 23, 2018",20.48,1.69
"Apr 22, 2018",18.79,0.10
"Apr 21, 2018",18.69,-0.95
"Apr 20, 2018",19.64,1.26
"Apr 19, 2018",18.38,0.76
"Apr 18, 2018",17.62,1.55
"Apr 17, 2018",16.07,-0.05
"Apr 16, 2018",16.12,-0.63
"Apr 15, 2018",16.75,0.73
"Apr 14, 2018",16.02,0.41
"Apr 13, 2018",15.61,-0.56
"Apr 12, 2018",16.17,1.58
"Apr 11, 2018",14.59,0.94
"Apr 10, 2018",13.65,0.02
"Apr 09, 2018",13.63,-0.49
"Apr 08, 2018",14.12,0.65
"Apr 07, 2018",13.47,0.32
"Apr 06, 2018",13.15,-0.57
"Apr 05, 2018",13.72,0.08
"Apr 04, 2018",13.64,-1.52
"Apr 03, 2018",15.16,1.03
"Apr 02, 2018",14.13,0.55
"Apr 01, 2018",13.58,-0.79
"Mar 31, 2018",14.37,-0.02
"Mar 30, 2018",14.39,-0.29
"Mar 29, 2018",14.68,-1.42
"Mar 28, 2018",16.1,0.19
"Mar 27, 2018",15.91,-0.57
"Mar 26, 2018",16.48,-1.61
"Mar 25, 2018",18.09,-0.41
"Mar 24, 2018",18.5,-0.54
"Mar 23, 2018",19.04,-0.63
"Mar 22, 2018",19.67,-0.13
"Mar 21, 2018",19.8,-0.41
"Mar 20, 2018",20.21,0.56
"Mar 19, 2018",19.65,2.86
"Mar 18, 2018",16.79,0.47
"Mar 17, 2018",16.32,-1.46
"Mar 16, 2018",17.78,-0.63
"Mar 15, 2018",18.41,1.26
"Mar 14, 2018",17.15,-2.77
"Mar 13, 2018",19.92,-0.58
"Mar 12, 2018",20.5,-1.08
"Mar 11, 2018",21.58,0.67
"Mar 10, 2018",20.91,-1.57
"Mar 09, 2018",22.48,-0.19
"Mar 08, 2018",22.67,0.55
"Mar 07, 2018",22.12,-2.98
"Mar 06, 2018",25.1,-1.74
"Mar 05, 2018",26.84,-2.85
"Mar 04, 2018",29.69,0.50
"Mar 03, 2018",29.19,-1.58
"Mar 02, 2018",30.77,-2.99
"Mar 01, 2018",33.76,0.07
"Feb 28, 2018",33.69,-2.56
"Feb 27, 2018",36.25,0.17
"Feb 26, 2018",36.08,-0.33
"Feb 25, 2018",36.41,-2.43
"Feb 24, 2018",38.84,0.80
"Feb 23, 2018",38.04,5.23
"Feb 22, 2018",32.81,-3.82
"Feb 21, 2018",36.63,-1.84
"Feb 20, 2018",38.47,-0.82
"Feb 19, 2018",39.29,4.41
"Feb 18, 2018",34.88,-0.11
"Feb 17, 2018",34.99,-0.04
"Feb 16, 2018",35.03,0.50
"Feb 15, 2018",34.53,-0.51
"Feb 14, 2018",35.04,1.08
"Feb 13, 2018",33.96,4.08
"Feb 12, 2018",29.88,5.75
"Feb 11, 2018",24.13,-0.39
"Feb 10, 2018",24.52,-1.48
"Feb 09, 2018",26,4.21
"Feb 08, 2018",21.79,3.63
"Feb 07, 2018",18.16,-1.23
"Feb 06, 2018",19.39,2.86
"Feb 05, 2018",16.53,-4.51
"Feb 04, 2018",21.04,-3.16
"Feb 03, 2018",24.2,0.00
