Date,Close,change
"May 02, 2018",687.15,13.54
"May 01, 2018",673.61,3.69
"Apr 30, 2018",669.92,-18.96
"Apr 29, 2018",688.88,5.20
"Apr 28, 2018",683.68,36.65
"Apr 27, 2018",647.03,-15.78
"Apr 26, 2018",662.81,47.39
"Apr 25, 2018",615.42,-92.74
"Apr 24, 2018",708.16,65.61
"Apr 23, 2018",642.55,20.69
"Apr 22, 2018",621.86,16.46
"Apr 21, 2018",605.4,-10.32
"Apr 20, 2018",615.72,47.83
"Apr 19, 2018",567.89,43.10
"Apr 18, 2018",524.79,21.90
"Apr 17, 2018",502.89,-8.26
"Apr 16, 2018",511.15,-20.55
"Apr 15, 2018",531.7,30.22
"Apr 14, 2018",501.48,8.74
"Apr 13, 2018",492.74,-0.20
"Apr 12, 2018",492.94,62.40
"Apr 11, 2018",430.54,16.30
"Apr 10, 2018",414.24,15.71
"Apr 09, 2018",398.53,-1.98
"Apr 08, 2018",400.51,15.20
"Apr 07, 2018",385.31,15.02
"Apr 06, 2018",370.29,-12.94
"Apr 05, 2018",383.23,2.69
"Apr 04, 2018",380.54,-36.35
"Apr 03, 2018",416.89,30.46
"Apr 02, 2018",386.43,6.82
"Apr 01, 2018",379.61,-16.85
"Mar 31, 2018",396.46,1.81
"Mar 30, 2018",394.65,8.68
"Mar 29, 2018",385.97,-60.31
"Mar 28, 2018",446.28,-3.84
"Mar 27, 2018",450.12,-39.83
"Mar 26, 2018",489.95,-34.34
"Mar 25, 2018",524.29,-2.15
"Mar 24, 2018",526.44,-13.18
"Mar 23, 2018",539.62,-0.08
"Mar 22, 2018",539.7,-22.03
"Mar 21, 2018",561.73,4.55
"Mar 20, 2018",557.18,0.45
"Mar 19, 2018",556.73,18.09
"Mar 18, 2018",538.64,-14.14
"Mar 17, 2018",552.78,-48.89
"Mar 16, 2018",601.67,-9.63
"Mar 15, 2018",611.3,-2.99
"Mar 14, 2018",614.29,-76.54
"Mar 13, 2018",690.83,-9.00
"Mar 12, 2018",699.83,-23.51
"Mar 11, 2018",723.34,36.45
"Mar 10, 2018",686.89,-42.03
"Mar 09, 2018",728.92,24.32
"Mar 08, 2018",704.6,-48.23
"Mar 07, 2018",752.83,-64.12
"Mar 06, 2018",816.95,-36.73
"Mar 05, 2018",853.68,-13.00
"Mar 04, 2018",866.68,9.45
"Mar 03, 2018",857.23,0.38
"Mar 02, 2018",856.85,-15.35
"Mar 01, 2018",872.2,17.00
"Feb 28, 2018",855.2,-23.07
"Feb 27, 2018",878.27,8.95
"Feb 26, 2018",869.32,24.51
"Feb 25, 2018",844.81,4.29
"Feb 24, 2018",840.52,-23.67
"Feb 23, 2018",864.19,51.34
"Feb 22, 2018",812.85,-37.12
"Feb 21, 2018",849.97,-45.40
"Feb 20, 2018",895.37,-48.50
"Feb 19, 2018",943.87,19.95
"Feb 18, 2018",923.92,-50.20
"Feb 17, 2018",974.12,29.91
"Feb 16, 2018",944.21,7.23
"Feb 15, 2018",936.98,13.42
"Feb 14, 2018",923.56,78.30
"Feb 13, 2018",845.26,-23.45
"Feb 12, 2018",868.71,54.05
"Feb 11, 2018",814.66,-45.76
"Feb 10, 2018",860.42,-23.45
"Feb 09, 2018",883.87,66.06
"Feb 08, 2018",817.81,60.74
"Feb 07, 2018",757.07,-36.05
"Feb 06, 2018",793.12,95.17
"Feb 05, 2018",697.95,-136.73
"Feb 04, 2018",834.68,-129.34
"Feb 03, 2018",964.02,0.00
