Date,Close,change
"May 02, 2018",2.26,0.28
"May 01, 2018",1.98,0.02
"Apr 30, 2018",1.96,-0.09
"Apr 29, 2018",2.05,0.01
"Apr 28, 2018",2.04,0.14
"Apr 27, 2018",1.9,-0.14
"Apr 26, 2018",2.04,0.24
"Apr 25, 2018",1.8,-0.35
"Apr 24, 2018",2.15,0.02
"Apr 23, 2018",2.13,0.12
"Apr 22, 2018",2.01,0.09
"Apr 21, 2018",1.92,-0.05
"Apr 20, 2018",1.97,0.20
"Apr 19, 2018",1.77,0.08
"Apr 18, 2018",1.69,0.14
"Apr 17, 2018",1.55,-0.07
"Apr 16, 2018",1.62,-0.05
"Apr 15, 2018",1.67,0.24
"Apr 14, 2018",1.43,0.11
"Apr 13, 2018",1.32,-0.02
"Apr 12, 2018",1.34,0.27
"Apr 11, 2018",1.07,0.06
"Apr 10, 2018",1.01,0.02
"Apr 09, 2018",0.989505,-0.03
"Apr 08, 2018",1.02,0.04
"Apr 07, 2018",0.984719,0.05
"Apr 06, 2018",0.935367,-0.05
"Apr 05, 2018",0.982953,-0.01
"Apr 04, 2018",0.990158,-0.12
"Apr 03, 2018",1.11,0.08
"Apr 02, 2018",1.03,0.04
"Apr 01, 2018",0.994798,-0.09
"Mar 31, 2018",1.08,-0.03
"Mar 30, 2018",1.11,0.02
"Mar 29, 2018",1.09,-0.10
"Mar 28, 2018",1.19,0.02
"Mar 27, 2018",1.17,-0.07
"Mar 26, 2018",1.24,-0.08
"Mar 25, 2018",1.32,-0.01
"Mar 24, 2018",1.33,-0.01
"Mar 23, 2018",1.34,0.01
"Mar 22, 2018",1.33,-0.04
"Mar 21, 2018",1.37,-0.07
"Mar 20, 2018",1.44,0.11
"Mar 19, 2018",1.33,0.10
"Mar 18, 2018",1.23,0.09
"Mar 17, 2018",1.14,0.04
"Mar 16, 2018",1.1,0.01
"Mar 15, 2018",1.09,-0.03
"Mar 14, 2018",1.12,-0.19
"Mar 13, 2018",1.31,-0.03
"Mar 12, 2018",1.34,-0.05
"Mar 11, 2018",1.39,0.08
"Mar 10, 2018",1.31,-0.08
"Mar 09, 2018",1.39,-0.01
"Mar 08, 2018",1.4,-0.13
"Mar 07, 2018",1.53,-0.17
"Mar 06, 2018",1.7,-0.18
"Mar 05, 2018",1.88,-0.01
"Mar 04, 2018",1.89,0.03
"Mar 03, 2018",1.86,-0.06
"Mar 02, 2018",1.92,-0.05
"Mar 01, 2018",1.97,0.11
"Feb 28, 2018",1.86,-0.11
"Feb 27, 2018",1.97,0.10
"Feb 26, 2018",1.87,0.05
"Feb 25, 2018",1.82,0.04
"Feb 24, 2018",1.78,0.03
"Feb 23, 2018",1.75,0.13
"Feb 22, 2018",1.62,-0.14
"Feb 21, 2018",1.76,-0.15
"Feb 20, 2018",1.91,-0.18
"Feb 19, 2018",2.09,0.11
"Feb 18, 2018",1.98,-0.22
"Feb 17, 2018",2.2,0.10
"Feb 16, 2018",2.1,-0.03
"Feb 15, 2018",2.13,0.10
"Feb 14, 2018",2.03,0.22
"Feb 13, 2018",1.81,-0.06
"Feb 12, 2018",1.87,0.17
"Feb 11, 2018",1.7,-0.16
"Feb 10, 2018",1.86,-0.10
"Feb 09, 2018",1.96,0.18
"Feb 08, 2018",1.78,0.18
"Feb 07, 2018",1.6,-0.02
"Feb 06, 2018",1.62,0.17
"Feb 05, 2018",1.45,-0.29
"Feb 04, 2018",1.74,-0.25
"Feb 03, 2018",1.99,0.00
