Date,Close,change
"May 02, 2018",14.19,0.92
"May 01, 2018",13.27,0.11
"Apr 30, 2018",13.16,0.18
"Apr 29, 2018",12.98,1.13
"Apr 28, 2018",11.85,0.65
"Apr 27, 2018",11.2,-0.55
"Apr 26, 2018",11.75,0.70
"Apr 25, 2018",11.05,-2.04
"Apr 24, 2018",13.09,0.79
"Apr 23, 2018",12.3,0.77
"Apr 22, 2018",11.53,-0.13
"Apr 21, 2018",11.66,-0.66
"Apr 20, 2018",12.32,0.54
"Apr 19, 2018",11.78,0.47
"Apr 18, 2018",11.31,0.83
"Apr 17, 2018",10.48,-0.21
"Apr 16, 2018",10.69,0.21
"Apr 15, 2018",10.48,0.50
"Apr 14, 2018",9.98,0.21
"Apr 13, 2018",9.77,0.05
"Apr 12, 2018",9.72,0.98
"Apr 11, 2018",8.74,0.21
"Apr 10, 2018",8.53,-0.10
"Apr 09, 2018",8.63,-0.52
"Apr 08, 2018",9.15,0.56
"Apr 07, 2018",8.59,0.34
"Apr 06, 2018",8.25,-0.36
"Apr 05, 2018",8.61,0.20
"Apr 04, 2018",8.41,-1.75
"Apr 03, 2018",10.16,2.33
"Apr 02, 2018",7.83,0.76
"Apr 01, 2018",7.07,-0.47
"Mar 31, 2018",7.54,0.09
"Mar 30, 2018",7.45,-0.49
"Mar 29, 2018",7.94,-1.72
"Mar 28, 2018",9.66,-0.19
"Mar 27, 2018",9.85,-1.12
"Mar 26, 2018",10.97,-0.66
"Mar 25, 2018",11.63,-0.26
"Mar 24, 2018",11.89,-0.14
"Mar 23, 2018",12.03,-0.47
"Mar 22, 2018",12.5,-0.88
"Mar 21, 2018",13.38,-0.25
"Mar 20, 2018",13.63,0.89
"Mar 19, 2018",12.74,0.49
"Mar 18, 2018",12.25,0.08
"Mar 17, 2018",12.17,-0.93
"Mar 16, 2018",13.1,-0.25
"Mar 15, 2018",13.35,1.62
"Mar 14, 2018",11.73,-2.30
"Mar 13, 2018",14.03,-0.13
"Mar 12, 2018",14.16,-0.76
"Mar 11, 2018",14.92,0.72
"Mar 10, 2018",14.2,-1.29
"Mar 09, 2018",15.49,0.42
"Mar 08, 2018",15.07,-0.55
"Mar 07, 2018",15.62,-1.28
"Mar 06, 2018",16.9,-1.56
"Mar 05, 2018",18.46,-0.46
"Mar 04, 2018",18.92,0.05
"Mar 03, 2018",18.87,-0.34
"Mar 02, 2018",19.21,-0.91
"Mar 01, 2018",20.12,1.78
"Feb 28, 2018",18.34,-1.78
"Feb 27, 2018",20.12,-0.53
"Feb 26, 2018",20.65,0.64
"Feb 25, 2018",20.01,-0.81
"Feb 24, 2018",20.82,-1.78
"Feb 23, 2018",22.6,1.11
"Feb 22, 2018",21.49,-0.92
"Feb 21, 2018",22.41,-3.78
"Feb 20, 2018",26.19,-4.18
"Feb 19, 2018",30.37,0.68
"Feb 18, 2018",29.69,-3.53
"Feb 17, 2018",33.22,1.21
"Feb 16, 2018",32.01,0.64
"Feb 15, 2018",31.37,3.09
"Feb 14, 2018",28.28,2.28
"Feb 13, 2018",26,-2.12
"Feb 12, 2018",28.12,2.84
"Feb 11, 2018",25.28,-1.98
"Feb 10, 2018",27.26,0.01
"Feb 09, 2018",27.25,4.16
"Feb 08, 2018",23.09,4.78
"Feb 07, 2018",18.31,0.05
"Feb 06, 2018",18.26,3.13
"Feb 05, 2018",15.13,-4.88
"Feb 04, 2018",20.01,-3.07
"Feb 03, 2018",23.08,0.00
