Date,Close,change
"May 02, 2018",151.58,3.09
"May 01, 2018",148.49,0.01
"Apr 30, 2018",148.48,-5.15
"Apr 29, 2018",153.63,1.33
"Apr 28, 2018",152.3,6.39
"Apr 27, 2018",145.91,-7.77
"Apr 26, 2018",153.68,8.92
"Apr 25, 2018",144.76,-21.02
"Apr 24, 2018",165.78,13.53
"Apr 23, 2018",152.25,5.48
"Apr 22, 2018",146.77,-2.16
"Apr 21, 2018",148.93,-6.61
"Apr 20, 2018",155.54,9.24
"Apr 19, 2018",146.3,6.30
"Apr 18, 2018",140,7.07
"Apr 17, 2018",132.93,4.59
"Apr 16, 2018",128.34,-3.71
"Apr 15, 2018",132.05,5.76
"Apr 14, 2018",126.29,0.94
"Apr 13, 2018",125.35,-3.99
"Apr 12, 2018",129.34,11.05
"Apr 11, 2018",118.29,4.03
"Apr 10, 2018",114.26,-0.73
"Apr 09, 2018",114.99,-2.68
"Apr 08, 2018",117.67,1.41
"Apr 07, 2018",116.26,3.10
"Apr 06, 2018",113.16,-5.97
"Apr 05, 2018",119.13,0.72
"Apr 04, 2018",118.41,-16.06
"Apr 03, 2018",134.47,15.16
"Apr 02, 2018",119.31,4.09
"Apr 01, 2018",115.22,-1.39
"Mar 31, 2018",116.61,-1.99
"Mar 30, 2018",118.6,3.92
"Mar 29, 2018",114.68,-17.07
"Mar 28, 2018",131.75,-4.03
"Mar 27, 2018",135.78,-13.44
"Mar 26, 2018",149.22,-10.86
"Mar 25, 2018",160.08,0.45
"Mar 24, 2018",159.63,-8.20
"Mar 23, 2018",167.83,4.16
"Mar 22, 2018",163.67,-5.38
"Mar 21, 2018",169.05,0.23
"Mar 20, 2018",168.82,7.68
"Mar 19, 2018",161.14,7.07
"Mar 18, 2018",154.07,1.10
"Mar 17, 2018",152.97,-12.48
"Mar 16, 2018",165.45,0.97
"Mar 15, 2018",164.48,3.38
"Mar 14, 2018",161.1,-14.68
"Mar 13, 2018",175.78,-2.45
"Mar 12, 2018",178.23,-10.72
"Mar 11, 2018",188.95,11.22
"Mar 10, 2018",177.73,-9.44
"Mar 09, 2018",187.17,10.66
"Mar 08, 2018",176.51,-9.33
"Mar 07, 2018",185.84,-10.76
"Mar 06, 2018",196.6,-14.58
"Mar 05, 2018",211.18,-2.62
"Mar 04, 2018",213.8,3.16
"Mar 03, 2018",210.64,-1.92
"Mar 02, 2018",212.56,2.81
"Mar 01, 2018",209.75,6.85
"Feb 28, 2018",202.9,-13.70
"Feb 27, 2018",216.6,-4.36
"Feb 26, 2018",220.96,0.48
"Feb 25, 2018",220.48,11.06
"Feb 24, 2018",209.42,0.11
"Feb 23, 2018",209.31,14.00
"Feb 22, 2018",195.31,-18.04
"Feb 21, 2018",213.35,-19.50
"Feb 20, 2018",232.85,9.79
"Feb 19, 2018",223.06,7.32
"Feb 18, 2018",215.74,-13.73
"Feb 17, 2018",229.47,-0.65
"Feb 16, 2018",230.12,4.69
"Feb 15, 2018",225.43,12.07
"Feb 14, 2018",213.36,53.81
"Feb 13, 2018",159.55,-2.02
"Feb 12, 2018",161.57,12.58
"Feb 11, 2018",148.99,-6.60
"Feb 10, 2018",155.59,-8.36
"Feb 09, 2018",163.95,14.48
"Feb 08, 2018",149.47,11.27
"Feb 07, 2018",138.2,-4.79
"Feb 06, 2018",142.99,17.66
"Feb 05, 2018",125.33,-22.70
"Feb 04, 2018",148.03,-12.22
"Feb 03, 2018",160.25,0.00
