Date,Close,change
"May 02, 2018",8.55,0.40
"May 01, 2018",8.15,-0.26
"Apr 30, 2018",8.41,0.16
"Apr 29, 2018",8.25,0.74
"Apr 28, 2018",7.51,0.52
"Apr 27, 2018",6.99,-0.54
"Apr 26, 2018",7.53,0.75
"Apr 25, 2018",6.78,-1.34
"Apr 24, 2018",8.12,0.54
"Apr 23, 2018",7.58,0.51
"Apr 22, 2018",7.07,-0.17
"Apr 21, 2018",7.24,-0.11
"Apr 20, 2018",7.35,0.17
"Apr 19, 2018",7.18,0.87
"Apr 18, 2018",6.31,0.39
"Apr 17, 2018",5.92,-0.05
"Apr 16, 2018",5.97,-0.44
"Apr 15, 2018",6.41,0.53
"Apr 14, 2018",5.88,0.11
"Apr 13, 2018",5.77,-0.03
"Apr 12, 2018",5.8,0.53
"Apr 11, 2018",5.27,0.42
"Apr 10, 2018",4.85,0.01
"Apr 09, 2018",4.84,-0.23
"Apr 08, 2018",5.07,-0.02
"Apr 07, 2018",5.09,0.09
"Apr 06, 2018",5,-0.15
"Apr 05, 2018",5.15,0.01
"Apr 04, 2018",5.14,-0.86
"Apr 03, 2018",6,0.64
"Apr 02, 2018",5.36,0.17
"Apr 01, 2018",5.19,-0.43
"Mar 31, 2018",5.62,0.44
"Mar 30, 2018",5.18,-0.29
"Mar 29, 2018",5.47,-1.11
"Mar 28, 2018",6.58,0.07
"Mar 27, 2018",6.51,-0.47
"Mar 26, 2018",6.98,-0.59
"Mar 25, 2018",7.57,-0.13
"Mar 24, 2018",7.7,-0.41
"Mar 23, 2018",8.11,-0.15
"Mar 22, 2018",8.26,-0.37
"Mar 21, 2018",8.63,-0.52
"Mar 20, 2018",9.15,0.87
"Mar 19, 2018",8.28,-0.03
"Mar 18, 2018",8.31,0.47
"Mar 17, 2018",7.84,-0.98
"Mar 16, 2018",8.82,0.04
"Mar 15, 2018",8.78,-0.32
"Mar 14, 2018",9.1,-1.75
"Mar 13, 2018",10.85,0.13
"Mar 12, 2018",10.72,-0.86
"Mar 11, 2018",11.58,0.72
"Mar 10, 2018",10.86,-0.79
"Mar 09, 2018",11.65,1.75
"Mar 08, 2018",9.9,-2.03
"Mar 07, 2018",11.93,-1.48
"Mar 06, 2018",13.41,-1.33
"Mar 05, 2018",14.74,-0.17
"Mar 04, 2018",14.91,-0.01
"Mar 03, 2018",14.92,-1.28
"Mar 02, 2018",16.2,-0.89
"Mar 01, 2018",17.09,2.80
"Feb 28, 2018",14.29,-1.19
"Feb 27, 2018",15.48,1.56
"Feb 26, 2018",13.92,1.71
"Feb 25, 2018",12.21,-2.01
"Feb 24, 2018",14.22,1.23
"Feb 23, 2018",12.99,3.71
"Feb 22, 2018",9.28,1.47
"Feb 21, 2018",7.81,0.81
"Feb 20, 2018",7,-1.59
"Feb 19, 2018",8.59,-0.05
"Feb 18, 2018",8.64,-0.81
"Feb 17, 2018",9.45,-0.19
"Feb 16, 2018",9.64,0.24
"Feb 15, 2018",9.4,0.36
"Feb 14, 2018",9.04,0.13
"Feb 13, 2018",8.91,-0.84
"Feb 12, 2018",9.75,1.44
"Feb 11, 2018",8.31,-1.13
"Feb 10, 2018",9.44,-0.61
"Feb 09, 2018",10.05,-1.23
"Feb 08, 2018",11.28,1.12
"Feb 07, 2018",10.16,-0.68
"Feb 06, 2018",10.84,1.91
"Feb 05, 2018",8.93,-3.94
"Feb 04, 2018",12.87,-3.71
"Feb 03, 2018",16.58,0.00
