Date,Close,change
"May 02, 2018",84.79,0.15
"May 01, 2018",84.64,0.37
"Apr 30, 2018",84.27,-6.80
"Apr 29, 2018",91.07,14.32
"Apr 28, 2018",76.75,4.08
"Apr 27, 2018",72.67,-4.52
"Apr 26, 2018",77.19,5.81
"Apr 25, 2018",71.38,-11.63
"Apr 24, 2018",83.01,6.79
"Apr 23, 2018",76.22,2.46
"Apr 22, 2018",73.76,-1.23
"Apr 21, 2018",74.99,-4.04
"Apr 20, 2018",79.03,4.90
"Apr 19, 2018",74.13,1.29
"Apr 18, 2018",72.84,7.09
"Apr 17, 2018",65.75,-0.95
"Apr 16, 2018",66.7,-3.63
"Apr 15, 2018",70.33,6.47
"Apr 14, 2018",63.86,1.65
"Apr 13, 2018",62.21,-4.50
"Apr 12, 2018",66.71,8.17
"Apr 11, 2018",58.54,5.92
"Apr 10, 2018",52.62,-0.31
"Apr 09, 2018",52.93,3.74
"Apr 08, 2018",49.19,2.77
"Apr 07, 2018",46.42,1.48
"Apr 06, 2018",44.94,-2.26
"Apr 05, 2018",47.2,-0.35
"Apr 04, 2018",47.55,-6.09
"Apr 03, 2018",53.64,4.82
"Apr 02, 2018",48.82,1.52
"Apr 01, 2018",47.3,-2.83
"Mar 31, 2018",50.13,-0.18
"Mar 30, 2018",50.31,-1.58
"Mar 29, 2018",51.89,-5.35
"Mar 28, 2018",57.24,1.71
"Mar 27, 2018",55.53,-4.21
"Mar 26, 2018",59.74,-5.69
"Mar 25, 2018",65.43,-0.30
"Mar 24, 2018",65.73,-2.83
"Mar 23, 2018",68.56,-1.08
"Mar 22, 2018",69.64,-3.31
"Mar 21, 2018",72.95,-3.08
"Mar 20, 2018",76.03,2.59
"Mar 19, 2018",73.44,7.94
"Mar 18, 2018",65.5,3.97
"Mar 17, 2018",61.53,-6.72
"Mar 16, 2018",68.25,-1.32
"Mar 15, 2018",69.57,-2.10
"Mar 14, 2018",71.67,-11.71
"Mar 13, 2018",83.38,-2.53
"Mar 12, 2018",85.91,-5.28
"Mar 11, 2018",91.19,5.61
"Mar 10, 2018",85.58,-7.09
"Mar 09, 2018",92.67,1.10
"Mar 08, 2018",91.57,-8.87
"Mar 07, 2018",100.44,-4.67
"Mar 06, 2018",105.11,-7.91
"Mar 05, 2018",113.02,-6.34
"Mar 04, 2018",119.36,-2.79
"Mar 03, 2018",122.15,-2.09
"Mar 02, 2018",124.24,-4.81
"Mar 01, 2018",129.05,-4.19
"Feb 28, 2018",133.24,-9.26
"Feb 27, 2018",142.5,8.33
"Feb 26, 2018",134.17,15.71
"Feb 25, 2018",118.46,-0.11
"Feb 24, 2018",118.57,-3.08
"Feb 23, 2018",121.65,7.57
"Feb 22, 2018",114.08,-6.88
"Feb 21, 2018",120.96,-7.40
"Feb 20, 2018",128.36,-9.11
"Feb 19, 2018",137.47,10.09
"Feb 18, 2018",127.38,-9.37
"Feb 17, 2018",136.75,7.90
"Feb 16, 2018",128.85,5.56
"Feb 15, 2018",123.29,0.77
"Feb 14, 2018",122.52,11.34
"Feb 13, 2018",111.18,-2.07
"Feb 12, 2018",113.25,9.85
"Feb 11, 2018",103.4,-7.23
"Feb 10, 2018",110.63,-6.94
"Feb 09, 2018",117.57,5.14
"Feb 08, 2018",112.43,9.93
"Feb 07, 2018",102.5,-3.45
"Feb 06, 2018",105.95,23.58
"Feb 05, 2018",82.37,-25.09
"Feb 04, 2018",107.46,-15.51
"Feb 03, 2018",122.97,0.00
