Date,Close,change
"May 02, 2018",17.24,0.25
"May 01, 2018",16.99,0.04
"Apr 30, 2018",16.95,-1.14
"Apr 29, 2018",18.09,0.01
"Apr 28, 2018",18.08,0.67
"Apr 27, 2018",17.41,-0.81
"Apr 26, 2018",18.22,2.63
"Apr 25, 2018",15.59,-2.57
"Apr 24, 2018",18.16,2.31
"Apr 23, 2018",15.85,0.66
"Apr 22, 2018",15.19,-0.21
"Apr 21, 2018",15.4,-0.83
"Apr 20, 2018",16.23,0.50
"Apr 19, 2018",15.73,0.71
"Apr 18, 2018",15.02,0.78
"Apr 17, 2018",14.24,-1.20
"Apr 16, 2018",15.44,1.34
"Apr 15, 2018",14.1,0.44
"Apr 14, 2018",13.66,0.99
"Apr 13, 2018",12.67,0.65
"Apr 12, 2018",12.02,2.20
"Apr 11, 2018",9.82,0.57
"Apr 10, 2018",9.25,0.15
"Apr 09, 2018",9.1,-0.46
"Apr 08, 2018",9.56,0.17
"Apr 07, 2018",9.39,0.07
"Apr 06, 2018",9.32,0.38
"Apr 05, 2018",8.94,0.69
"Apr 04, 2018",8.25,-1.27
"Apr 03, 2018",9.52,0.77
"Apr 02, 2018",8.75,0.66
"Apr 01, 2018",8.09,-0.14
"Mar 31, 2018",8.23,-0.05
"Mar 30, 2018",8.28,-0.18
"Mar 29, 2018",8.46,-1.27
"Mar 28, 2018",9.73,-0.04
"Mar 27, 2018",9.77,-0.57
"Mar 26, 2018",10.34,-0.54
"Mar 25, 2018",10.88,-0.22
"Mar 24, 2018",11.1,-0.40
"Mar 23, 2018",11.5,-0.07
"Mar 22, 2018",11.57,-0.29
"Mar 21, 2018",11.86,-0.22
"Mar 20, 2018",12.08,0.63
"Mar 19, 2018",11.45,0.98
"Mar 18, 2018",10.47,0.61
"Mar 17, 2018",9.86,-1.36
"Mar 16, 2018",11.22,-0.09
"Mar 15, 2018",11.31,-0.38
"Mar 14, 2018",11.69,-2.06
"Mar 13, 2018",13.75,-0.03
"Mar 12, 2018",13.78,-0.90
"Mar 11, 2018",14.68,1.24
"Mar 10, 2018",13.44,-1.58
"Mar 09, 2018",15.02,1.28
"Mar 08, 2018",13.74,-0.76
"Mar 07, 2018",14.5,-1.36
"Mar 06, 2018",15.86,-1.36
"Mar 05, 2018",17.22,-0.72
"Mar 04, 2018",17.94,0.04
"Mar 03, 2018",17.9,-0.62
"Mar 02, 2018",18.52,-0.69
"Mar 01, 2018",19.21,0.59
"Feb 28, 2018",18.62,-1.52
"Feb 27, 2018",20.14,2.17
"Feb 26, 2018",17.97,1.20
"Feb 25, 2018",16.77,0.02
"Feb 24, 2018",16.75,-0.82
"Feb 23, 2018",17.57,0.97
"Feb 22, 2018",16.6,-1.46
"Feb 21, 2018",18.06,-0.34
"Feb 20, 2018",18.4,0.71
"Feb 19, 2018",17.69,1.03
"Feb 18, 2018",16.66,-1.63
"Feb 17, 2018",18.29,0.12
"Feb 16, 2018",18.17,1.50
"Feb 15, 2018",16.67,1.01
"Feb 14, 2018",15.66,2.67
"Feb 13, 2018",12.99,0.15
"Feb 12, 2018",12.84,0.98
"Feb 11, 2018",11.86,-0.65
"Feb 10, 2018",12.51,-0.69
"Feb 09, 2018",13.2,1.31
"Feb 08, 2018",11.89,0.99
"Feb 07, 2018",10.9,-0.47
"Feb 06, 2018",11.37,2.10
"Feb 05, 2018",9.27,-2.79
"Feb 04, 2018",12.06,-1.99
"Feb 03, 2018",14.05,0.00
