Date,Close,change
"May 02, 2018",8.58,-0.13
"May 01, 2018",8.71,0.91
"Apr 30, 2018",7.8,-1.45
"Apr 29, 2018",9.25,2.21
"Apr 28, 2018",7.04,1.76
"Apr 27, 2018",5.28,-0.01
"Apr 26, 2018",5.29,0.28
"Apr 25, 2018",5.01,0.19
"Apr 24, 2018",4.82,0.60
"Apr 23, 2018",4.22,0.20
"Apr 22, 2018",4.02,-0.04
"Apr 21, 2018",4.06,-0.26
"Apr 20, 2018",4.32,-0.16
"Apr 19, 2018",4.48,0.21
"Apr 18, 2018",4.27,0.20
"Apr 17, 2018",4.07,-0.07
"Apr 16, 2018",4.14,-0.37
"Apr 15, 2018",4.51,0.17
"Apr 14, 2018",4.34,0.13
"Apr 13, 2018",4.21,-0.19
"Apr 12, 2018",4.4,0.10
"Apr 11, 2018",4.3,-0.32
"Apr 10, 2018",4.62,1.14
"Apr 09, 2018",3.48,-0.01
"Apr 08, 2018",3.49,-0.29
"Apr 07, 2018",3.78,0.72
"Apr 06, 2018",3.06,0.20
"Apr 05, 2018",2.86,0.42
"Apr 04, 2018",2.44,0.15
"Apr 03, 2018",2.29,0.23
"Apr 02, 2018",2.06,-0.01
"Apr 01, 2018",2.07,0.01
"Mar 31, 2018",2.06,-0.25
"Mar 30, 2018",2.31,0.17
"Mar 29, 2018",2.14,-0.19
"Mar 28, 2018",2.33,0.14
"Mar 27, 2018",2.19,0.45
"Mar 26, 2018",1.74,0.23
"Mar 25, 2018",1.51,0.08
"Mar 24, 2018",1.43,0.06
"Mar 23, 2018",1.37,0.06
"Mar 22, 2018",1.31,-0.10
"Mar 21, 2018",1.41,0.03
"Mar 20, 2018",1.38,0.12
"Mar 19, 2018",1.26,-0.02
"Mar 18, 2018",1.28,0.00
"Mar 17, 2018",1.28,-0.23
"Mar 16, 2018",1.51,-0.18
"Mar 15, 2018",1.69,0.22
"Mar 14, 2018",1.47,0.11
"Mar 13, 2018",1.36,0.05
"Mar 12, 2018",1.31,-0.29
"Mar 11, 2018",1.6,0.12
"Mar 10, 2018",1.48,-0.16
"Mar 09, 2018",1.64,-1.20
"Mar 08, 2018",2.84,0.00
