Date,Close,change
"May 02, 2018",24,1
"May 01, 2018",23.5,-1
"Apr 30, 2018",24.5,-2
"Apr 29, 2018",26.27,2
"Apr 28, 2018",23.96,2
"Apr 27, 2018",21.49,-2
"Apr 26, 2018",23.87,3
"Apr 25, 2018",21.31,-5
"Apr 24, 2018",26.21,2
"Apr 23, 2018",24.01,-2
"Apr 22, 2018",26.22,-2
"Apr 21, 2018",27.96,-0
"Apr 20, 2018",28.05,4
"Apr 19, 2018",24.32,1
"Apr 18, 2018",23.48,0
"Apr 17, 2018",23.11,2
"Apr 16, 2018",21.22,5
"Apr 15, 2018",16.57,0
"Apr 14, 2018",16.14,1
"Apr 13, 2018",15.13,1
"Apr 12, 2018",13.91,2
"Apr 11, 2018",12.21,1
"Apr 10, 2018",11.69,0
"Apr 09, 2018",11.6,-1
"Apr 08, 2018",12.12,0
"Apr 07, 2018",12.12,1
"Apr 06, 2018",11.46,-0
"Apr 05, 2018",11.93,0
"Apr 04, 2018",11.83,-1
"Apr 03, 2018",13.32,1
"Apr 02, 2018",11.87,0
"Apr 01, 2018",11.45,-1
"Mar 31, 2018",12.22,0
"Mar 30, 2018",11.98,-1
"Mar 29, 2018",12.78,-2
"Mar 28, 2018",14.72,-0
"Mar 27, 2018",15.02,-0
"Mar 26, 2018",15.22,-0
"Mar 25, 2018",15.51,0
"Mar 24, 2018",15.47,-0
"Mar 23, 2018",15.55,1
"Mar 22, 2018",14.69,-1
"Mar 21, 2018",15.4,-1
"Mar 20, 2018",16,1
"Mar 19, 2018",15.35,0
"Mar 18, 2018",15.25,1
"Mar 17, 2018",14.14,-1
"Mar 16, 2018",15.47,-1
"Mar 15, 2018",16.15,0
"Mar 14, 2018",15.96,-3
"Mar 13, 2018",18.99,2
"Mar 12, 2018",16.92,0
"Mar 11, 2018",16.76,1
"Mar 10, 2018",15.74,0
"Mar 09, 2018",15.7,-0
"Mar 08, 2018",15.83,-2
"Mar 07, 2018",17.79,-2
"Mar 06, 2018",19.85,-1
"Mar 05, 2018",21.14,0
"Mar 04, 2018",20.99,0
"Mar 03, 2018",20.57,-1
"Mar 02, 2018",21.13,-1
"Mar 01, 2018",22.48,5
"Feb 28, 2018",17.95,-4
"Feb 27, 2018",21.68,-0
"Feb 26, 2018",21.85,0
"Feb 25, 2018",21.61,0
"Feb 24, 2018",21.12,-2
"Feb 23, 2018",23.29,1
"Feb 22, 2018",21.87,-1
"Feb 21, 2018",23.31,-1
"Feb 20, 2018",24.76,-3
"Feb 19, 2018",27.72,1
"Feb 18, 2018",27.04,-3
"Feb 17, 2018",30.41,-0
"Feb 16, 2018",30.82,4
"Feb 15, 2018",26.63,0
"Feb 14, 2018",26.24,-0
"Feb 13, 2018",26.52,-3
"Feb 12, 2018",29.67,6
"Feb 11, 2018",24.13,-2
"Feb 10, 2018",26,-6
"Feb 09, 2018",31.98,-1
"Feb 08, 2018",33.4,0
"Feb 07, 2018",33.05,-7
"Feb 06, 2018",39.68,3
"Feb 05, 2018",36.19,-11
"Feb 04, 2018",46.9,-12
"Feb 03, 2018",59.27,0
