Date,Close,change
"May 02, 2018",22.36,0.24
"May 01, 2018",22.12,-0.52
"Apr 30, 2018",22.64,-0.42
"Apr 29, 2018",23.06,1.27
"Apr 28, 2018",21.79,1.82
"Apr 27, 2018",19.97,-1.18
"Apr 26, 2018",21.15,1.98
"Apr 25, 2018",19.17,-3.88
"Apr 24, 2018",23.05,2.55
"Apr 23, 2018",20.5,1.11
"Apr 22, 2018",19.39,0.05
"Apr 21, 2018",19.34,-0.97
"Apr 20, 2018",20.31,1.59
"Apr 19, 2018",18.72,1.17
"Apr 18, 2018",17.55,1.18
"Apr 17, 2018",16.37,0.05
"Apr 16, 2018",16.32,-0.53
"Apr 15, 2018",16.85,1.04
"Apr 14, 2018",15.81,0.24
"Apr 13, 2018",15.57,-0.79
"Apr 12, 2018",16.36,1.93
"Apr 11, 2018",14.43,0.99
"Apr 10, 2018",13.44,-0.02
"Apr 09, 2018",13.46,0.00
"Apr 08, 2018",13.46,0.29
"Apr 07, 2018",13.17,0.29
"Apr 06, 2018",12.88,-0.64
"Apr 05, 2018",13.52,-0.12
"Apr 04, 2018",13.64,-1.59
"Apr 03, 2018",15.23,0.84
"Apr 02, 2018",14.39,0.93
"Apr 01, 2018",13.46,-0.79
"Mar 31, 2018",14.25,-0.13
"Mar 30, 2018",14.38,0.04
"Mar 29, 2018",14.34,-1.34
"Mar 28, 2018",15.68,0.37
"Mar 27, 2018",15.31,-0.93
"Mar 26, 2018",16.24,-1.78
"Mar 25, 2018",18.02,-0.05
"Mar 24, 2018",18.07,-0.38
"Mar 23, 2018",18.45,-1.08
"Mar 22, 2018",19.53,-0.24
"Mar 21, 2018",19.77,-1.00
"Mar 20, 2018",20.77,0.48
"Mar 19, 2018",20.29,6.81
"Mar 18, 2018",13.48,-0.09
"Mar 17, 2018",13.57,-1.41
"Mar 16, 2018",14.98,-0.74
"Mar 15, 2018",15.72,-0.47
"Mar 14, 2018",16.19,-1.99
"Mar 13, 2018",18.18,-0.28
"Mar 12, 2018",18.46,-1.25
"Mar 11, 2018",19.71,1.50
"Mar 10, 2018",18.21,-1.32
"Mar 09, 2018",19.53,-0.50
"Mar 08, 2018",20.03,-1.90
"Mar 07, 2018",21.93,-3.17
"Mar 06, 2018",25.1,-1.51
"Mar 05, 2018",26.61,0.18
"Mar 04, 2018",26.43,0.64
"Mar 03, 2018",25.79,-0.29
"Mar 02, 2018",26.08,-0.74
"Mar 01, 2018",26.82,0.60
"Feb 28, 2018",26.22,-1.78
"Feb 27, 2018",28,-0.81
"Feb 26, 2018",28.81,2.87
"Feb 25, 2018",25.94,-0.66
"Feb 24, 2018",26.6,-1.50
"Feb 23, 2018",28.1,1.73
"Feb 22, 2018",26.37,-2.19
"Feb 21, 2018",28.56,-2.55
"Feb 20, 2018",31.11,-1.55
"Feb 19, 2018",32.66,1.42
"Feb 18, 2018",31.24,-2.32
"Feb 17, 2018",33.56,0.54
"Feb 16, 2018",33.02,-0.04
"Feb 15, 2018",33.06,0.51
"Feb 14, 2018",32.55,2.44
"Feb 13, 2018",30.11,-0.02
"Feb 12, 2018",30.13,2.65
"Feb 11, 2018",27.48,-2.79
"Feb 10, 2018",30.27,-0.89
"Feb 09, 2018",31.16,4.68
"Feb 08, 2018",26.48,4.70
"Feb 07, 2018",21.78,-2.27
"Feb 06, 2018",24.05,3.51
"Feb 05, 2018",20.54,-5.65
"Feb 04, 2018",26.19,-3.74
"Feb 03, 2018",29.93,0.00
