Date,Close,change
"May 02, 2018",4.06,0.13
"May 01, 2018",3.93,0.01
"Apr 30, 2018",3.92,-0.32
"Apr 29, 2018",4.24,-0.16
"Apr 28, 2018",4.4,0.08
"Apr 27, 2018",4.32,0.20
"Apr 26, 2018",4.12,-0.09
"Apr 25, 2018",4.21,0.69
"Apr 24, 2018",3.52,0.27
"Apr 23, 2018",3.25,0.20
"Apr 22, 2018",3.05,-0.04
"Apr 21, 2018",3.09,-0.20
"Apr 20, 2018",3.29,0.18
"Apr 19, 2018",3.11,0.09
"Apr 18, 2018",3.02,0.24
"Apr 17, 2018",2.78,0.10
"Apr 16, 2018",2.68,-0.07
"Apr 15, 2018",2.75,0.13
"Apr 14, 2018",2.62,-0.08
"Apr 13, 2018",2.7,-0.02
"Apr 12, 2018",2.72,0.76
"Apr 11, 2018",1.96,0.11
"Apr 10, 2018",1.85,0.02
"Apr 09, 2018",1.83,-0.08
"Apr 08, 2018",1.91,0.03
"Apr 07, 2018",1.88,0.12
"Apr 06, 2018",1.76,0.01
"Apr 05, 2018",1.75,-0.17
"Apr 04, 2018",1.92,-0.14
"Apr 03, 2018",2.06,0.37
"Apr 02, 2018",1.69,0.25
"Apr 01, 2018",1.44,-0.08
"Mar 31, 2018",1.52,-0.03
"Mar 30, 2018",1.55,-0.09
"Mar 29, 2018",1.64,-0.25
"Mar 28, 2018",1.89,0.17
"Mar 27, 2018",1.72,-0.14
"Mar 26, 2018",1.86,-0.16
"Mar 25, 2018",2.02,0.03
"Mar 24, 2018",1.99,0.02
"Mar 23, 2018",1.97,-0.16
"Mar 22, 2018",2.13,-0.09
"Mar 21, 2018",2.22,0.02
"Mar 20, 2018",2.2,0.14
"Mar 19, 2018",2.06,0.23
"Mar 18, 2018",1.83,0.01
"Mar 17, 2018",1.82,-0.23
"Mar 16, 2018",2.05,-0.06
"Mar 15, 2018",2.11,-0.12
"Mar 14, 2018",2.23,-0.27
"Mar 13, 2018",2.5,0.06
"Mar 12, 2018",2.44,-0.11
"Mar 11, 2018",2.55,0.15
"Mar 10, 2018",2.4,-0.17
"Mar 09, 2018",2.57,-0.08
"Mar 08, 2018",2.65,-0.12
"Mar 07, 2018",2.77,-0.47
"Mar 06, 2018",3.24,-0.27
"Mar 05, 2018",3.51,-0.04
"Mar 04, 2018",3.55,-0.11
"Mar 03, 2018",3.66,0.31
"Mar 02, 2018",3.35,-0.08
"Mar 01, 2018",3.43,0.15
"Feb 28, 2018",3.28,-0.23
"Feb 27, 2018",3.51,-0.11
"Feb 26, 2018",3.62,0.11
"Feb 25, 2018",3.51,0.02
"Feb 24, 2018",3.49,-0.20
"Feb 23, 2018",3.69,0.18
"Feb 22, 2018",3.51,-0.38
"Feb 21, 2018",3.89,-0.32
"Feb 20, 2018",4.21,-0.34
"Feb 19, 2018",4.55,0.26
"Feb 18, 2018",4.29,-0.39
"Feb 17, 2018",4.68,0.10
"Feb 16, 2018",4.58,-0.02
"Feb 15, 2018",4.6,0.14
"Feb 14, 2018",4.46,0.21
"Feb 13, 2018",4.25,-0.02
"Feb 12, 2018",4.27,0.28
"Feb 11, 2018",3.99,-0.50
"Feb 10, 2018",4.49,0.15
"Feb 09, 2018",4.34,0.39
"Feb 08, 2018",3.95,0.30
"Feb 07, 2018",3.65,-0.23
"Feb 06, 2018",3.88,0.58
"Feb 05, 2018",3.3,-0.58
"Feb 04, 2018",3.88,-0.64
"Feb 03, 2018",4.52,0.00
