Date,Close,change
"May 02, 2018",4.83,0.21
"May 01, 2018",4.62,0.13
"Apr 30, 2018",4.49,-0.36
"Apr 29, 2018",4.85,0.53
"Apr 28, 2018",4.32,0.55
"Apr 27, 2018",3.77,-0.21
"Apr 26, 2018",3.98,0.36
"Apr 25, 2018",3.62,-0.55
"Apr 24, 2018",4.17,0.29
"Apr 23, 2018",3.88,0.05
"Apr 22, 2018",3.83,-0.01
"Apr 21, 2018",3.84,-0.09
"Apr 20, 2018",3.93,0.22
"Apr 19, 2018",3.71,0.13
"Apr 18, 2018",3.58,0.28
"Apr 17, 2018",3.3,-0.05
"Apr 16, 2018",3.35,-0.21
"Apr 15, 2018",3.56,0.27
"Apr 14, 2018",3.29,0.02
"Apr 13, 2018",3.27,-0.07
"Apr 12, 2018",3.34,0.56
"Apr 11, 2018",2.78,0.09
"Apr 10, 2018",2.69,0.14
"Apr 09, 2018",2.55,0.03
"Apr 08, 2018",2.52,0.02
"Apr 07, 2018",2.5,0.16
"Apr 06, 2018",2.34,-0.09
"Apr 05, 2018",2.43,0.01
"Apr 04, 2018",2.42,-0.48
"Apr 03, 2018",2.9,0.18
"Apr 02, 2018",2.72,0.49
"Apr 01, 2018",2.23,-0.15
"Mar 31, 2018",2.38,0.04
"Mar 30, 2018",2.34,-0.08
"Mar 29, 2018",2.42,-0.50
"Mar 28, 2018",2.92,-0.03
"Mar 27, 2018",2.95,-0.25
"Mar 26, 2018",3.2,-0.15
"Mar 25, 2018",3.35,0.00
"Mar 24, 2018",3.35,-0.02
"Mar 23, 2018",3.37,-0.15
"Mar 22, 2018",3.52,-0.15
"Mar 21, 2018",3.67,-0.03
"Mar 20, 2018",3.7,-0.06
"Mar 19, 2018",3.76,0.05
"Mar 18, 2018",3.71,0.02
"Mar 17, 2018",3.69,-0.21
"Mar 16, 2018",3.9,0.12
"Mar 15, 2018",3.78,-0.07
"Mar 14, 2018",3.85,-0.42
"Mar 13, 2018",4.27,0.25
"Mar 12, 2018",4.02,0.14
"Mar 11, 2018",3.88,0.38
"Mar 10, 2018",3.5,-0.21
"Mar 09, 2018",3.71,-0.01
"Mar 08, 2018",3.72,-0.38
"Mar 07, 2018",4.1,-0.68
"Mar 06, 2018",4.78,0.09
"Mar 05, 2018",4.69,0.13
"Mar 04, 2018",4.56,0.12
"Mar 03, 2018",4.44,-0.07
"Mar 02, 2018",4.51,-0.44
"Mar 01, 2018",4.95,0.41
"Feb 28, 2018",4.54,-0.69
"Feb 27, 2018",5.23,-0.37
"Feb 26, 2018",5.6,-0.27
"Feb 25, 2018",5.87,0.31
"Feb 24, 2018",5.56,-0.43
"Feb 23, 2018",5.99,0.52
"Feb 22, 2018",5.47,-0.48
"Feb 21, 2018",5.95,-0.29
"Feb 20, 2018",6.24,-0.22
"Feb 19, 2018",6.46,1.11
"Feb 18, 2018",5.35,-0.64
"Feb 17, 2018",5.99,0.30
"Feb 16, 2018",5.69,-0.29
"Feb 15, 2018",5.98,0.98
"Feb 14, 2018",5,0.80
"Feb 13, 2018",4.2,-0.11
"Feb 12, 2018",4.31,0.34
"Feb 11, 2018",3.97,-0.43
"Feb 10, 2018",4.4,-0.26
"Feb 09, 2018",4.66,0.38
"Feb 08, 2018",4.28,0.41
"Feb 07, 2018",3.87,-0.32
"Feb 06, 2018",4.19,0.68
"Feb 05, 2018",3.51,-1.03
"Feb 04, 2018",4.54,-0.98
"Feb 03, 2018",5.52,0.00
