Date,Close,change
"May 02, 2018",249.66,9.40
"May 01, 2018",240.26,-2.20
"Apr 30, 2018",242.46,-14.41
"Apr 29, 2018",256.87,-4.64
"Apr 28, 2018",261.51,9.63
"Apr 27, 2018",251.88,-16.39
"Apr 26, 2018",268.27,11.13
"Apr 25, 2018",257.14,-38.90
"Apr 24, 2018",296.04,12.74
"Apr 23, 2018",283.3,12.00
"Apr 22, 2018",271.3,13.12
"Apr 21, 2018",258.18,-13.80
"Apr 20, 2018",271.98,33.37
"Apr 19, 2018",238.61,10.26
"Apr 18, 2018",228.35,32.60
"Apr 17, 2018",195.75,1.65
"Apr 16, 2018",194.1,-6.52
"Apr 15, 2018",200.62,10.20
"Apr 14, 2018",190.42,1.55
"Apr 13, 2018",188.87,-3.07
"Apr 12, 2018",191.94,22.78
"Apr 11, 2018",169.16,3.59
"Apr 10, 2018",165.57,-1.50
"Apr 09, 2018",167.07,-6.90
"Apr 08, 2018",173.97,3.85
"Apr 07, 2018",170.12,8.12
"Apr 06, 2018",162,-11.31
"Apr 05, 2018",173.31,3.21
"Apr 04, 2018",170.1,-19.44
"Apr 03, 2018",189.54,12.03
"Apr 02, 2018",177.51,2.00
"Apr 01, 2018",175.51,-4.05
"Mar 31, 2018",179.56,7.20
"Mar 30, 2018",172.36,-4.50
"Mar 29, 2018",176.86,-22.30
"Mar 28, 2018",199.16,11.23
"Mar 27, 2018",187.93,-9.25
"Mar 26, 2018",197.18,-14.60
"Mar 25, 2018",211.78,2.62
"Mar 24, 2018",209.16,-4.76
"Mar 23, 2018",213.92,1.21
"Mar 22, 2018",212.71,-5.92
"Mar 21, 2018",218.63,-5.11
"Mar 20, 2018",223.74,6.97
"Mar 19, 2018",216.77,7.14
"Mar 18, 2018",209.63,11.72
"Mar 17, 2018",197.91,-17.79
"Mar 16, 2018",215.7,2.39
"Mar 15, 2018",213.31,-2.25
"Mar 14, 2018",215.56,-32.51
"Mar 13, 2018",248.07,-11.35
"Mar 12, 2018",259.42,-22.93
"Mar 11, 2018",282.35,25.31
"Mar 10, 2018",257.04,-31.05
"Mar 09, 2018",288.09,9.45
"Mar 08, 2018",278.64,-60.51
"Mar 07, 2018",339.15,-7.25
"Mar 06, 2018",346.4,-26.85
"Mar 05, 2018",373.25,4.28
"Mar 04, 2018",368.97,16.01
"Mar 03, 2018",352.96,8.23
"Mar 02, 2018",344.73,30.69
"Mar 01, 2018",314.04,28.34
"Feb 28, 2018",285.7,-16.84
"Feb 27, 2018",302.54,8.93
"Feb 26, 2018",293.61,12.59
"Feb 25, 2018",281.02,7.23
"Feb 24, 2018",273.79,-11.92
"Feb 23, 2018",285.71,2.95
"Feb 22, 2018",282.76,-39.85
"Feb 21, 2018",322.61,18.21
"Feb 20, 2018",304.4,-12.09
"Feb 19, 2018",316.49,16.37
"Feb 18, 2018",300.12,-25.55
"Feb 17, 2018",325.67,29.19
"Feb 16, 2018",296.48,-6.77
"Feb 15, 2018",303.25,26.59
"Feb 14, 2018",276.66,41.97
"Feb 13, 2018",234.69,-12.88
"Feb 12, 2018",247.57,18.08
"Feb 11, 2018",229.49,-20.54
"Feb 10, 2018",250.03,-10.40
"Feb 09, 2018",260.43,13.21
"Feb 08, 2018",247.22,39.94
"Feb 07, 2018",207.28,-5.01
"Feb 06, 2018",212.29,32.80
"Feb 05, 2018",179.49,-41.56
"Feb 04, 2018",221.05,-30.54
"Feb 03, 2018",251.59,0.00
