Date,Close,change
"May 02, 2018",293.37,2.88
"May 01, 2018",290.49,5.34
"Apr 30, 2018",285.15,-8.61
"Apr 29, 2018",293.76,-2.86
"Apr 28, 2018",296.62,13.25
"Apr 27, 2018",283.37,-19.48
"Apr 26, 2018",302.85,19.25
"Apr 25, 2018",283.6,-36.06
"Apr 24, 2018",319.66,22.03
"Apr 23, 2018",297.63,25.31
"Apr 22, 2018",272.32,1.68
"Apr 21, 2018",270.64,-11.34
"Apr 20, 2018",281.98,18.12
"Apr 19, 2018",263.86,15.98
"Apr 18, 2018",247.88,25.95
"Apr 17, 2018",221.93,-3.53
"Apr 16, 2018",225.46,-6.72
"Apr 15, 2018",232.18,10.14
"Apr 14, 2018",222.04,-6.10
"Apr 13, 2018",228.14,11.72
"Apr 12, 2018",216.42,31.64
"Apr 11, 2018",184.78,5.06
"Apr 10, 2018",179.72,2.31
"Apr 09, 2018",177.41,-6.49
"Apr 08, 2018",183.9,2.09
"Apr 07, 2018",181.81,6.18
"Apr 06, 2018",175.63,-8.98
"Apr 05, 2018",184.61,1.20
"Apr 04, 2018",183.41,-22.77
"Apr 03, 2018",206.18,12.29
"Apr 02, 2018",193.89,11.41
"Apr 01, 2018",182.48,-3.06
"Mar 31, 2018",185.54,-4.35
"Mar 30, 2018",189.89,3.06
"Mar 29, 2018",186.83,-24.03
"Mar 28, 2018",210.86,-5.49
"Mar 27, 2018",216.35,-9.00
"Mar 26, 2018",225.35,-14.01
"Mar 25, 2018",239.36,-3.97
"Mar 24, 2018",243.33,-13.54
"Mar 23, 2018",256.87,7.61
"Mar 22, 2018",249.26,-10.81
"Mar 21, 2018",260.07,0.83
"Mar 20, 2018",259.24,6.62
"Mar 19, 2018",252.62,8.24
"Mar 18, 2018",244.38,23.90
"Mar 17, 2018",220.48,-16.27
"Mar 16, 2018",236.75,-6.24
"Mar 15, 2018",242.99,-7.70
"Mar 14, 2018",250.69,-33.68
"Mar 13, 2018",284.37,-7.32
"Mar 12, 2018",291.69,-18.01
"Mar 11, 2018",309.7,21.19
"Mar 10, 2018",288.51,-22.44
"Mar 09, 2018",310.95,-7.44
"Mar 08, 2018",318.39,-29.19
"Mar 07, 2018",347.58,-36.85
"Mar 06, 2018",384.43,-7.44
"Mar 05, 2018",391.87,-17.42
"Mar 04, 2018",409.29,21.62
"Mar 03, 2018",387.67,-0.17
"Mar 02, 2018",387.84,-12.44
"Mar 01, 2018",400.28,18.25
"Feb 28, 2018",382.03,-26.94
"Feb 27, 2018",408.97,4.73
"Feb 26, 2018",404.24,12.99
"Feb 25, 2018",391.25,-1.03
"Feb 24, 2018",392.28,-24.04
"Feb 23, 2018",416.32,18.53
"Feb 22, 2018",397.79,-37.01
"Feb 21, 2018",434.8,-3.77
"Feb 20, 2018",438.57,-34.40
"Feb 19, 2018",472.97,21.95
"Feb 18, 2018",451.02,-39.82
"Feb 17, 2018",490.84,9.32
"Feb 16, 2018",481.52,-5.23
"Feb 15, 2018",486.75,2.96
"Feb 14, 2018",483.79,36.66
"Feb 13, 2018",447.13,-15.11
"Feb 12, 2018",462.24,28.08
"Feb 11, 2018",434.16,-49.26
"Feb 10, 2018",483.42,7.70
"Feb 09, 2018",475.72,39.81
"Feb 08, 2018",435.91,81.56
"Feb 07, 2018",354.35,-18.04
"Feb 06, 2018",372.39,68.78
"Feb 05, 2018",303.61,-43.30
"Feb 04, 2018",346.91,-41.64
"Feb 03, 2018",388.55,0.00
